0,91.302,91.302,-162.9
3,100.31,100.31,-151.7
6,107.1,107.1,-145.41
9,112.31,112.31,-154.13
12,122.42,122.42,-163.14
15,12.637,12.637,-143.84
18,18.64,18.64,-130.81
21,26.38,26.38,-132.14
24,35.541,35.541,-165.17
27,41.86,-81.11,-170.54
30,47.547,-75.423,-162.03
33,52.127,-70.843,-166.76
36,61.763,-61.207,-162.65
39,70.135,-52.835,-153.44
42,77.401,-45.569,-139.4
45,89.564,-33.406,180
48,104.25,-18.72,-154.18
51,110.42,-12.55,-171.7
54,120.21,-2.76,180
57,2.054,-120.92,-169
60,1.896,-121.07,-169
63,3.001,-119.97,-106.5
