0,61.013,61.013,-52.765
3,51.18,51.18,-42.614
6,42.294,42.294,-25.115
9,29.618,29.618,-59.931
12,20.614,20.614,-51.009
15,16.349,16.349,-52.696
18,8.293,8.293,-57.095
21,80.205,80.205,-85.601
24,78.547,78.547,-87.797
27,73.571,-9.833,-70.907
30,71.675,-11.729,-90
33,66.936,-16.468,-80.91
36,61.131,-22.273,-65.095
39,55.326,-28.078,-43.668
42,52.483,-30.921,-41.186
45,46.915,-36.489,-46.736
48,32.935,-50.469,-30.256
51,28.315,-55.089,-57.095
54,22.628,-60.776,-70.71
57,16.704,-66.7,-84.289
60,8.411,-74.993,-73.301
63,82.575,-0.829,-64.537
