0,31.869,31.869,-130.6
3,33.172,33.172,-111.45
6,33.527,33.527,-125.54
9,40.043,40.043,-136.64
12,65.87,65.87,-109.29
15,6.279,6.279,-87.51
18,10.899,10.899,-96.34
21,15.283,15.283,-116.56
24,23.694,23.694,-121.33
27,44.308,-24.879,-110.77
30,49.166,-20.021,-103.63
33,59.947,-9.24,-118.18
36,65.396,-3.791,-115.77
39,1.185,-68.002,-127.57
42,15.757,-53.43,-110.77
45,28.67,-40.517,-139.4
48,40.873,-28.314,-112.17
51,43.361,-25.826,-105.42
54,47.507,-21.68,-105.42
57,54.734,-14.453,-101.69
60,63.738,-5.449,-115.77
63,69.306,0.119,-120.47
