0,0.316,0.316,-83.991
3,104.1,104.1,-83.991
6,89.564,89.564,-86.186
9,82.772,82.772,-64.231
12,78.033,78.033,-49.764
15,75.348,75.348,-55.886
18,71.083,71.083,-43.919
21,66.028,66.028,-15.524
24,62.869,62.869,-13.392
27,44.861,-60.339,-24.146
30,42.018,-63.182,-52.765
33,43.597,-61.603,-77.005
36,39.648,-65.552,-51.34
39,36.647,-68.553,-41.055
42,31.908,-73.292,-36.327
45,28.907,-76.293,-19.855
48,23.694,-81.506,-25.821
51,19.903,-85.297,-21.161
54,15.164,-90.036,-14.036
57,10.11,-95.09,-32.005
60,1.896,-103.3,-28.301
63,102.52,-2.68,-55.491
66,98.884,-6.316,-72.35
69,94.935,-10.265,-61.557
