0,109.47,109.47,-65.556
3,105.2,105.2,-66.371
6,104.73,104.73,-66.371
9,104.25,104.25,-66.371
12,103.78,103.78,-54.09
15,103.62,103.62,-54.09
18,98.41,98.41,-38.66
21,68.24,68.24,-14.621
24,53.549,53.549,-38.66
27,37.121,-94.149,-45
30,17.376,-113.89,-35.218
33,5.371,-125.9,-25.641
36,114.52,-16.75,-34.695
39,108.68,-22.59,-46.042
42,99.358,-31.912,-41.055
45,79.771,-51.499,-17.103
48,62.237,-69.033,-25.866
51,54.971,-76.299,-32.005
54,46.915,-84.355,-37.875
57,17.85,-113.42,-14.421
60,126.53,-4.74,-22.834
63,106.94,-24.33,-35.362
66,86.721,-44.549,-20.556
69,74.558,-56.712,-28.887
72,63.185,-68.085,-32.829
75,54.181,-77.089,-32.152
78,37.121,-94.149,-38.66
