0,30.645,30.645,-154.23
3,36.489,36.489,-116.13
6,41.544,41.544,-132.34
9,47.389,47.389,-105.64
12,54.892,54.892,-123.07
15,61.605,61.605,-143.81
18,68.634,68.634,-156.5
21,1.817,1.817,-135
24,3.238,3.238,-139.76
27,5.529,-66.502,-139.19
30,6.713,-65.318,-126.87
33,8.925,-63.106,-124.82
36,10.662,-61.369,-108.76
39,9.715,-62.316,-95.29
42,9.715,-62.316,-94.927
45,10.425,-61.606,-92.862
48,11.215,-60.816,-91.909
51,11.452,-60.579,-91.005
54,11.531,-60.5,-91.005
57,11.847,-60.184,-91.005
60,11.136,-60.895,-91.005
63,10.583,-61.448,-92.203
66,10.82,-61.211,-91.219
69,10.82,-61.211,-91.219
72,9.952,-62.079,-91.332
75,8.688,-63.343,-93.9
78,2.054,-69.977,-53.393
81,69.582,-2.449,-52.595
84,62.474,-9.557,-47.49
87,55.919,-16.112,-23.459
90,47.231,-24.8,-1.102
93,38.069,-33.962,-1.66
96,35.936,-36.095,-46.909
99,34.436,-37.595,-54.638
102,33.251,-38.78,-58.57
105,33.33,-38.701,-90
108,34.12,-37.911,-91.332
111,35.541,-36.49,-96.459
114,37.121,-34.91,-95.389
117,36.726,-35.305,-93.504
120,39.49,-32.541,-97.815
123,46.836,-25.195,-123.02
126,53.628,-18.403,-125.68
129,60.105,-11.926,-132.77
132,68.713,-3.318,-135
135,72.11,0.079,-132.61
138,1.027,-71.004,-105.94
141,6.082,-65.949,-128.93
144,7.74,-64.291,-124.99
147,10.11,-61.921,-114.86
150,11.452,-60.579,-105.75
153,11.847,-60.184,-99.926
156,14.217,-57.814,-105.94
159,21.562,-50.469,-143.39
162,28.117,-43.914,-157.48
165,34.436,-37.595,-157.22
168,36.963,-35.068,-122.57
171,36.41,-35.621,-96.009
174,36.963,-35.068,-91.219
177,38.306,-33.725,-92.437
180,41.307,-30.724,-100.54
183,44.308,-27.723,-108.83
186,50.785,-21.246,-123.69
189,56.313,-15.718,-130.73
192,62.079,-9.952,-148.86
195,67.845,-4.186,-141.34
198,71.715,-0.316,-111.16
201,0.237,-71.794,-111.16
204,3.633,-68.398,-110.56
207,4.502,-67.529,-111.8
210,5.529,-66.502,-113.81
213,6.713,-65.318,-109.86
