913.47,489.22,857.72,999.87,867.99,716.91,859.43,787.72,582.93,698.82,637,597.92,386.51,507.43,598.7,687.13,456.61,412.77,522.15,524.49,397.32,417.96,443,377.98,389.51,489.52,356.77,323.68,513.89,476.56,305.82,310.18,422.34,689.55,466.42,434.17,526.27,335.11,394.21,353.45,408.56,690.12,589.98,395.73,272.88,400.94,488.61,238.66,260.56,165.02,418.03,440.46,445.7,400.98,459.62,201.46,245.13,172.1,424.3,226.14,190.44,244.47,274.21,345.43,331.44,303.05,275.23,253.47,334.51,269.39,235.69,251,29.414,151.39,275.9,353.6,341.61,370.39,251.36,115.47,150.37,368.29,520.12,291.53,241.3,313.54,320.46,265.59,384.09,411.93,319.65,485.07,569.01,535.64,711.97,196.66,259.42,367.23,479.09,466.72,448.36,418.9,358.36,479.72,557.21,463.33,534.49,685.04,528.05,397.94,416.96,478.99,733.69,832.42,784.37,945.49,715.23,545.38,791.78,729.62,718.65,874.53,1171.1,1038.5,929.82,1026.8,997.9,1137.9,1231.6,1521.8,1435.4,1351.8,1636.8,1316,1327.4,1316.4,1607.6,1182.4,1204,1260.5,1237.5,1184.9,1373.6,1094.7,1254.7,1313.6,1280.9,1488.3,1841.4,1739.3,1838.7,1604.2,1572.6,1632.6,1311,1380.5,1291.7,1482.9,1435.2,1333.8,1121.9,1326.3,1345,1291.4,1680.8,1627.1,1479,1680.9,1842.2,1885.4,1748,1607.1,1556.6,1800,1882.8,1633.9,1412.4,1552.2,1497.8,1311.7,1288,1406.5,1282.6,1213.5,1558.8,1390.1,1515.6,1333.1,1470.6,1686.9,1499.1,1615,1940.9,2219,1734.3,1611.2,1416.6,1413.2,1268.7,1707.9,1615.8,1434.5,1662.5,1285.4,1186.9,1224.7,1356.9,1580.4,1414.9,1528.9,1498.2,1293.8,1267.2,1495.2,1425.3,1443,1260.7,889.67,1122.7,1055,1356.3,1245.2,1238.9,1465.8,1191.3,1276.1,1415.8,1475.9,1487.2,1434.5,1488.2,1961.8,1678.1,1719.3,1777,1102,1114.4,1119.3,1037.1,1163.4,1224.5,1167.4,972.48,1025.7,1176,1443.1,1372.8,1434.4,1554.3,1037.5,1245.1,1076.3,1217.1,1052.4,1119.8,953.81,963.67,1000.9,1041.4,988.56,735.17,705.28,975.83,1166.2,1310.4,1094.7,957.45,1176.8,1277.4,1257,1301.6,1111,993.08,916.73,1097.2,817.26,870.67,1022.5,975.81,1153.8,1223.5,1066.6,874.7,729.45,765.28,803.22,934.53,884.5,1138.5,1058.8,959.61,979.76,1141.3,970.57,757.55,1042.7,1051.6,945.14,987.96,1066.6,1115.9,1041.4,919.44,956.13,991.48
979.79,1084.6,1335.3,1233.6,1104.4,972.42,863.05,674.73,785.92,843.6,506.19,747,683.1,712.05,851.3,721.65,715.15,604.9,786.64,658.61,652.07,644.99,775.19,637.64,620.01,685.16,448.44,618.15,744.23,704.27,743.98,460.73,447.56,549.79,497.34,676.01,951.85,552.21,499.66,612.72,607.63,785.67,574.48,542.15,979.03,623.25,606.72,598.65,642.85,791.35,658.62,489.77,535.09,495.78,461.94,516,551.8,525.04,454.14,287.57,219.48,282.6,305.3,393.66,389.45,318.39,423.16,380.52,275.88,103.78,491.73,555.71,520.54,187.56,107.54,138.16,331.13,306.36,196.83,309.5,218.79,245.59,174.9,79.606,225.71,218.64,231,206.22,134.63,126.67,399.59,-1.5975,230.36,350.7,120.61,117.26,121.43,74.7,170.06,104.19,406.39,226.07,256.41,190.69,287.29,324.9,500.09,397.43,449.56,139.07,203.1,353.63,300.94,57.616,138.31,386.83,463.01,429.9,377.38,214.94,225.72,354.11,210.17,374.16,408.07,494.45,536.76,342.15,628.55,764.22,466.23,600.4,823.7,747.23,942.02,763.89,806.94,939.76,992.14,914.46,913.38,913.15,758.08,719.75,586.29,706.27,733.14,688.55,1033,831.54,867.96,1005.5,1091.7,894.39,862.09,606.88,877.96,1053.9,1147.2,927.96,799.97,859.95,1045.2,852.55,784.85,914.73,1146.4,1211.3,1227,1177.4,843.4,848.07,980.85,796.37,1025.3,1019.1,966.23,1311.2,1158.1,1292.8,1491.5,1147.6,1227.5,1176.1,1191.4,1131.8,1348.7,1606,1761.5,1529.1,1596.2,1739.3,1977.4,1973.3,1939.5,1897.7,2131.8,2128.5,1720.3,1846.8,1843.3,1660.1,1613.2,1722.1,1504,1536.2,1769.3,2067.1,1657.9,1253.7,1247.8,1432.1,1546.2,1691.4,1903,1415.9,1489.8,1443.9,1628.4,1437.2,1349.8,1354.4,1356.3,1415.1,1763.6,1635,1684,1724,1549.1,1560.5,1691.4,1505.5,1589,1813.6,1591.8,1340.2,1765.9,1897.9,1619.9,1364,1443.1,1839.9,1568.5,1563.1,1719.3,1447.8,1606.4,1466,1978.7,1427.9,1346.2,1781.1,1624.8,1715.5,1928.6,1737.9,1419.8,1143,1400.5,1384.4,1547.5,1101.7,1355.8,1485.2,1420.4,1232.2,1232.5,1283,1207.4,1283.7,1551.4,1208.8,1377.9,1454.9,1383.4,1556.4,1312.3,1565.4,1494.4,1574.8,1326.6,1025.2,1144.7,1434.8,1312.5,1410.5,1663.4,1608.1,1673.3,1219.1,1319.8,1269.8,1404.4,1643.4,1491.5,1244.9,1092.7,1402.1,1408.4,964.61,1511.7,1639.1,1292.7,951.43,953.76
903,921.3,1299.4,1263.2,1166.3,1083,1226,1243.3,792.92,970.34,580.72,681.98,703.17,789.89,772.8,899.71,792.93,1019.9,984.27,719.13,981.74,1075,871.15,850.68,785.34,823.46,802.73,874.31,992.98,714.62,632.2,582.82,707.06,638.9,837.2,694.99,456.81,678.95,548.36,544.53,585.16,498.23,1051.6,865.86,715.19,947.41,736.52,680.94,577.42,662.9,748.18,811.97,737.61,709.86,833.64,744.94,568.76,644.47,619.96,333.44,515.41,644.45,686.54,534.3,672.86,489.37,451.96,343.32,426.72,498.55,554.94,532.34,465.12,401.92,304.93,542.87,681.92,316.63,488.41,219.27,467.98,585.45,334.47,444.13,461.96,271.96,575.34,437.73,397.53,475.09,329.05,517.14,314.94,133.46,246.8,477.81,215.19,434.59,381.08,549.06,457.52,109.47,363.46,186.34,222.58,202.38,244.22,453.36,201.68,279.49,249.16,188.4,363.97,87.081,180.01,116.58,164.37,294.03,285.32,247.46,383.94,430.09,257.89,215.2,79.736,152.62,189.35,94.759,186.99,370.09,216.37,372.03,210.2,454.67,359.4,311.19,239.05,172.03,199.66,178.56,271.1,371.69,418.64,197.47,414.06,357.39,377.45,322.89,331.25,78.185,228.95,362.45,562.78,644.76,858.69,834.05,529.65,642.17,759.79,610.93,593.63,779.31,650.47,749.58,646.82,699.72,689.46,505.2,724.52,682.36,686.03,500.93,499.91,951.99,1146.7,1127.9,805.62,683.14,631.93,409.02,530.54,749.98,768.9,793.45,586.12,473.7,741.54,823.14,1005,726.76,917.03,980.81,883.86,1008.2,820.4,908.43,956.57,955.91,838.23,885.75,923.19,1055.9,992.56,992.96,984.44,978.94,1000.1,1339.5,1520.4,1239.5,1303,1386,1278.1,1218.4,1588.3,1480.5,1351.1,1351.3,1282.2,1341.2,1579.5,1589.9,1513.4,1065.1,1218.1,1512.2,1451.7,1365.9,1709.5,1524.4,1593.6,1898.2,1615.6,1696.8,1548,1427,1528.9,1862.8,2162.3,1934.9,1817.1,1877.3,1538.5,1350.7,1471.9,1925.5,2294.6,1722.3,1849.3,1504.7,1592.4,1704.8,1594.3,1552,1265.1,1152.1,1435.7,1630.7,1324.6,1210.5,1297.1,1577.6,1795.9,1415.2,1381,1459.1,1456.3,1337.2,1290.5,1314.2,1081.2,1190.6,1455.6,1586.7,1524.2,1874.3,1327.5,1307.2,1503.3,1518.4,1493.1,1231.3,1164.4,1186.4,1221.6,1166.9,1437.1,1395.3,1572.4,1914.4,1683,1555.8,1429.8,1497.2,1418.7,1419.2,1859.5,1413.3,1307.7,1499.8,1534.5,1639.5,1671.5,1380.3,1278.7
1610.9,1408.7,1897.1,1882.8,1905.7,1920.8,1696.5,1631.3,1379.3,1168.2,1171.4,1064.9,1158,1113.3,914.04,1037.6,1197.5,1204.8,1124.2,867.01,1061,891.51,1075.3,1018,918.53,1164.9,1163.1,909.12,1098.6,1178.1,1089.7,1234.5,1247.2,892.92,1036,937.76,920.09,984.42,836.35,961.11,1016.6,1177.4,1430.4,1065.6,1103.9,1452.1,1352,1002.9,986.34,1250.9,1172.9,886.51,1014.9,1197.2,1133.2,963.49,979.07,891.06,650.04,728.46,907.46,916.34,810.81,648.16,735.68,542.13,559.76,591.38,739.69,861.23,751.11,939.84,981.13,759.71,932.16,909.65,671.51,1047.5,781.68,771.48,718.81,683.57,556.84,651.54,611.22,572.25,777.69,623.32,862.47,893.55,880.9,599.84,650.79,463.49,469.52,637.93,683.22,722.84,562.13,706.2,582.95,526.33,694.34,658.24,696.92,679.35,767.48,488.25,507.35,110.41,224.65,425.54,430.21,604.48,421.41,705.73,608.92,665.97,361.67,486.87,429.54,413.82,487.13,501.34,262.66,442.65,355.68,433.92,339.19,284.23,357.94,310.03,630.94,585.53,425.58,473.73,469.94,269.79,292.6,457.86,347.74,476.72,489.69,358.4,322.33,355.25,340.09,332.49,472.19,316.45,413.43,367.22,372.43,467.12,448.96,563.54,508.02,419.66,272.57,363.18,586.12,555.26,265.41,344.18,599.87,789.71,645.28,636.31,647.99,660.34,500.89,840.25,730.24,703.28,736.34,831.16,820.98,843.69,1070.5,869.11,815.24,722.42,485.67,885.18,823.97,789.14,671.74,484.57,800.85,703.25,759.51,726.38,649.27,841.61,801.81,814.54,879.89,849.76,620.13,614.62,770.91,810.25,922.78,992.95,922.54,1051.5,767.99,895.56,902.51,692.38,571.12,678.2,820.08,1013.1,964.79,795.47,964.4,824.56,985.98,838.44,980.66,1189.4,1275.9,1109.2,1104.6,1259.2,1439.7,1381.5,1347.8,1161.9,1450.4,1308.7,1417.9,1555.3,1778.4,1933,1988.9,2191.1,2245.2,2245.1,2226,2264,2206.3,2100,1994.4,1934.5,2133.4,1773.3,2283.8,2166.7,2084.9,2280.3,2090.5,1760.2,1585.8,1831.7,1613.3,1500.7,1512.6,1502.5,1454,1895.8,1879.3,1929.8,1986.3,1929,1635.6,1710.5,1891.9,1960.4,2207.8,2102.4,1777.6,1739,1802.1,1793.6,1798.5,1594.9,1674.3,2046.5,2084.3,1765,1948.6,1822.4,1749.2,1588.5,1688.8,1929.2,2052.6,2384.1,2024.3,2431.2,2321.7,2169.7,1980.9,1933.2,1777.4,2089.7,2250.3,2139.4,2011.7,1932.3,2165.4,2186.6,1875.7
1918,2102.3,2153,1998.2,2018.4,2052.9,1979.2,1813.7,1548.4,1383.3,1445.5,1589.5,1371.6,1454.3,1168.1,1163.3,1139.9,1219.1,940.55,724.86,669.81,898.71,1079.3,1203.7,1465.6,1466.1,1336.2,1500.9,1155.5,1175.9,972.45,1119.3,1096.7,1152.7,1228.2,1316.2,1243.2,1292.1,1123.8,1261.3,1519.1,1397.9,1461.3,1453.3,1479.5,1410.9,1441.1,1207.2,1205.9,1081.8,1119.8,1021.7,1261.1,1090.1,890.91,923.97,1003.3,1083.2,761.35,713.7,823.79,849.5,807.48,701.73,848.73,800.17,774.92,700.84,707.3,1052.2,1114.3,1102.1,1127.7,1104.3,1157.1,848.76,732.68,964.11,991.4,904.14,1058.5,1128.3,815.7,810.77,638.07,790.47,844.55,1010.6,838.42,927.53,944.17,790.65,838.09,570.71,550.87,780.25,999.75,881.97,677.64,621.56,876.25,901.33,880.54,691.44,814.43,848.88,1091.1,924.73,671,775.13,811.52,684.62,604.51,610.5,458.53,644.8,629.61,537.03,536.7,412.94,404.67,567.64,572.38,787.92,680.24,684.64,817.56,607.55,603.75,370.01,609.03,475.85,660.74,333.6,237.68,370.52,291.93,386.96,459.4,663.66,600.33,536.46,474.01,364.35,718.21,724.97,330.06,472.28,456.06,427.25,609.29,468.69,402.64,420.29,324.85,376.26,467.65,422.69,270.41,408.2,417.53,472.97,533.28,604.2,452.64,463.17,580.03,676.24,460.12,446.22,492.81,504.49,478.1,633.85,474.52,345.17,462.79,376.68,536.34,543.97,419.96,378.44,267.03,228.51,473.89,503.18,523.43,417.67,425.31,496.17,770.56,455.79,538.69,620.91,540.62,637.76,593.56,466.72,559.48,680.95,531.59,436.53,531.62,837.75,661.21,749.58,617.16,826.61,726.68,773.4,844.99,612.35,802.81,926.71,778.29,685.62,860.39,863.54,873.86,690.6,688.65,817.91,672.07,677.1,627.39,709.55,689.58,936.24,878.92,988.38,922.87,633.08,962.58,1035.3,1173.5,1081.2,1155.9,1045.2,1126,1353.9,1405.7,1486.6,1218.5,1265.4,1379.2,1440.2,1798.4,1834.9,1675.1,2072.3,1929.8,2050.8,1823.5,2081.1,2071.6,1926.6,2024.9,1802.5,1540.5,1590.2,1981,2013.3,1994.2,2222.5,2213.8,2233.3,2478.8,2221.5,2048.6,1687.4,1843.3,1688.5,1855.3,2189.9,1837.7,1978.8,1858.6,1828.3,1937.3,2124.8,2136.3,2244,2265.3,2129,1996.2,2048,1909.6,2288.3,2081.4,2085.6,2518,2480.4,2520.2,2717.4,2984.9,2495.6,2186.7,2322.7,1918.7,2053.3,2663,2391.2,2134.2,2087.4,2229.2
2316.8,2294.4,2426.5,2311.4,2285.5,2058.4,1983.9,1898.8,2060.6,1960.6,1760.8,1779.8,1367,1245.5,1432.5,1443.7,1327.9,1342.5,1347.3,1236.9,1202.1,1200.1,1458.7,1516.1,1327.1,1327.6,1159.6,1410.4,1475.4,1441.9,1372.7,1480.6,1496.5,1444.5,1263.7,1280.8,1359.7,1460.8,1746.3,1742.6,1816,1365.2,1412.6,1504.3,1639.2,1657.6,1665.8,1561.2,1573.5,1469.7,1385.5,1360.9,1109.2,1348.8,1090,1067,954.76,762.86,766.62,1061.5,835.04,650.53,684.48,731.32,737.73,1054.9,1060.5,932.61,865.28,896.19,1017.3,1050.1,1381.9,1161.3,669.53,821.9,949.71,1029.8,1030.5,960.84,986.56,997.05,864.01,1091.2,1030.9,893.93,902.86,926.86,836.82,1066.5,1132.6,1021.2,952.79,829.64,833.44,814.73,1023.4,1046.8,1158.7,943.35,958.99,844.52,716.97,934.78,1009.4,870.99,658.35,583.87,646.21,828.46,995.12,910.02,737.02,948.96,797.22,894.83,737.07,783.83,623.31,657.93,952.26,811.27,759.64,703.35,853.24,710.24,735.8,1038.9,733.82,977.01,851.89,797.18,649.15,816.98,884.29,799.96,699.97,540.75,759.82,559.53,441.17,590.39,512.62,690.11,780.27,437.27,409.84,430.9,552.82,686.79,354.86,456.12,551.61,555.89,795.09,637.24,673.79,574.53,553.54,775.32,675.25,642.97,604.81,676.37,905.94,651.54,495.37,517.69,517.73,455.65,470.8,488.52,568.81,688.03,441.39,438,506,606.23,514.88,591.41,391.02,545.91,625.3,481.84,395.82,419.53,647.73,536.26,602.18,501.17,408.82,378.88,422.07,448.76,611.34,456.97,412.78,268.93,283.91,347.54,432.26,553.82,648.26,473.54,454.87,701.27,480.74,419.52,442.93,386.42,542.3,387.46,286.04,391.87,361.71,432.32,413.67,348.86,500.7,365.47,320.52,501.46,503.01,576.02,458.01,659.87,754.09,696.94,642.68,508.09,788.76,777.9,567.7,740.01,578.62,536.94,715.87,1034,1002.6,900.54,904.84,1120.3,957.92,1209.9,1152.4,985.61,1166,1218.7,1172.6,1122.8,1074.9,1345.8,1290.1,1358.9,1573.1,1657.7,1462.8,1557.8,1540.1,1478.7,1464.2,1564.6,1660.9,1745.4,2165.9,1915.7,1761.4,2162.4,2040.1,1771.3,1949.7,1790.1,1971.1,1950.6,2194.2,1723.7,1801.6,1825,1913.4,2238.8,2242.7,2393.5,2439.4,2290.9,1848.7,2060.4,2032.8,2037.5,2335.7,2634.3,2435.8,2452.3,2473.8,2615.2,2976.5,3124.5,2728,2528.2,2254.5,2509.4,2694.7,2516.1,2326.5,2506.5,2244.6
2604.4,2635.8,2649.5,2479.7,2403.9,3027.2,3036.9,2869.8,2422.4,2231.2,2202.7,2252.5,2244.5,1663.4,1714.1,1914.4,1883.6,1960.7,1863.2,1677.4,1998.1,1739.1,1737,1788.5,1615.7,1701.1,1694.3,1817.5,1729.1,1690.2,1851.7,2162.1,2086.5,1835.3,1632.8,1729.5,1617.6,2101.3,2077.7,1835.3,1606.8,1671.8,1723,1867.1,1821,1844.4,2288.7,2093.4,1902.2,1609.7,1455.9,1231.3,1395.3,1551.7,1445.9,1312.5,1196.4,1223.7,1129.2,1054.1,1190.7,1224.8,1127.6,884.38,1037.1,1270.5,1138,1162.3,1090.1,1016.9,992.1,1156,1361.4,1505.8,1186.7,1332,1079.6,1068.8,1293,1194.7,1083.7,1113.6,1034.6,1204.8,1253.3,1004.7,1033.3,1142.9,1102.2,1175,1294.4,821.09,960.63,1021.5,1143.8,1413.9,1581.5,1482.1,1064,1059.7,1325.5,1374.9,1342.9,1266.2,1143.5,1031.6,1010.4,839.48,1032.2,1239.5,1199.4,1055.1,870.19,1019.6,1017.2,1115.7,1022.4,1000,764.43,891.23,904.72,1055.3,1130.7,1018,939.65,917.95,784.16,783.1,955.37,1139.5,1362,1265.4,1319.4,1218,1130.3,769.36,874.67,879.82,865.01,1057.4,862.23,791.47,831.28,680.37,703.52,812.73,883.07,960.93,1006.1,941.64,923.26,916.73,784.62,1236.2,918.48,1005.4,881.43,888.84,948.33,917.02,1177.1,879.82,789.16,922.27,990.87,859.47,888.2,1085.9,1225.8,1044.8,985.49,976.71,913.97,842.47,749.55,709.15,810.59,1018.5,912.19,930.83,562.88,749.99,690.54,713.96,746.11,639.15,750.76,834.81,910.91,801.79,680.1,562.96,975.43,841.6,822,529.51,526.79,587.38,509.28,696.86,601.88,609.42,458.12,547.63,536.32,648.42,716.24,746.39,718.72,744.39,909.19,1028.9,870.53,669.65,514.39,603.63,746.67,749.3,631.31,565.19,785.79,624.97,812.84,758.81,858.25,692.31,871.51,771.31,861.03,684.74,532.04,613.67,453.62,540.04,428.24,534.55,729.9,519.29,617.74,793.98,524.38,598.53,548.43,564.39,853.02,801.38,657.56,696.86,636.69,860.26,735.47,734.07,743.4,997.5,999.45,1170.4,1202.5,1018,1013.7,1072.9,1076.8,1313,1388.3,1536,1606.9,1718.9,1817.3,1921.2,1954.6,1764,2022.3,1997.7,2105.4,2326.5,2039.9,2075.3,2200.7,2503.7,2368.1,2270.2,2120.2,2299.1,2455.4,2430.4,2421,2582.7,2680.1,2659.4,2583.1,2996.3,3209.8,3070.9,2773.3,2632.9,2752.4,3032.1,2750.4,2608.4,2387.9,2454.3,2335,2458.8,2593.5,2574.3,2283.9
2606.8,2950.7,2423.7,2847.5,3081.8,2849.1,2532.8,2689.7,2620.3,2232.4,2233.9,2286.6,2668.4,2641.5,2629.3,2566.9,2218.1,2352.6,2206.1,2431.3,2094.7,2071.5,2354.8,2172.7,1775.6,1294.8,1568.9,1747.2,1727.7,2363.7,2689.5,2429.4,2039.5,1935.8,2074.9,2362,2182.7,2019.7,2189.8,2152.2,1906.9,2195.9,2271.6,1988.5,2264.3,2075.1,2355.3,2338.4,1977,1851,1831.9,2111.8,1699,1490,1592.9,1535.8,1360.8,1284.7,1511.8,1360.5,1348.8,1220.4,1111,995.04,1307.1,1407.3,1497.1,1451,1313.4,1575,1477.4,1077.1,1129.5,1481.3,1379.3,1212.9,1289.1,1218.7,1454.1,1201.1,1264.4,1291,1401.1,1144.3,1372.7,1452.4,1261.5,1319.2,1405.4,1233.4,1482.7,1336.7,1566.6,1353.9,1474.1,1214.2,1236.4,1584.3,1655.7,1497.2,1648.3,1700.6,1764.8,1464.2,1401.8,1195.6,1086.2,1182.9,1297.3,1276.8,1302.6,1116.4,1052.8,1227.3,1274.7,1097.6,1392.2,1429,1452.4,1251.6,1167.8,1199.9,1186.1,1176,1237.5,1460.1,1307.9,1398.9,1164,1307.8,1531.6,1477.6,1740.4,1684.8,1532.6,1207.2,1308,1572.2,1548.9,1245,1181.5,1188.9,1337.3,991.1,1227.3,1144.5,1291.4,1090.1,1021.3,1184.8,1221.6,1136,1131.2,1209.7,1210.8,1155.8,1113.9,1215.8,1387,1476.5,1239.6,1278.4,1379.6,1232.7,1436.3,1299.1,1473.6,1113.9,1252.5,1432,1483.7,1369.8,1538.2,1372.5,1409.8,1147.6,1021.6,964.13,1224.1,1222.2,976.05,976.73,1027.1,877.42,925.29,882.76,1016.6,972.39,774.55,1110.1,868.15,801.21,763.34,586.03,769.06,935.03,1237.8,1194.1,1410.8,1167.5,1019.3,1016.7,1094.7,946.92,1011.2,907.07,1046.3,1043,954.78,1013.6,893.02,894.17,892.31,844.09,857.79,1152.5,963.47,923.94,838.64,893.01,783.77,851.37,682.93,650.34,717.97,740.65,772.62,656.69,882.98,721.22,673.23,896.98,805.69,731.92,1027.4,737.14,736.65,892.57,735.52,749.55,727.06,887.1,887.44,874.05,903.73,874.93,959.22,686.08,609.22,697.83,717.04,770.79,919.43,745.77,777.3,606.72,822.22,922.51,1100.6,1036.6,698.8,643.27,854.2,843.88,1086.7,1175.7,1119.7,996.12,1051.8,719.03,805.91,1086.8,1108.6,1166.2,1294.3,990.2,1211.8,1129.1,1393.3,1370.4,1637.2,1072.9,1360.6,1317.5,1393.8,1413.4,1592.3,1820.9,1825.9,1866.5,1866.5,2145.7,1974.6,1833.7,2285.1,2298.7,1960.4,2085.4,2305.3,2278.2,2166.6,2189,2284.9,2570.4,2514.7
1783.2,1410.6,1620.5,1729,1941,1920.6,2049.7,2050.9,1760.8,1666.7,1903.3,2107.5,1923.4,1961.8,2294.1,2230.5,1919.6,2001.5,1980.4,2170.8,1802.6,1726.5,1944.7,1922.7,1768.8,1730.3,2045.7,1917.8,2072.2,2029.7,1994.1,2183.4,2093,2029.3,1991.6,1375.5,1620.2,1826.6,1676.3,1857.3,1717.6,1738.7,1909.8,1818.2,1618.3,1939.5,1856.2,1762.5,2097.6,2065.5,1854.6,1761.3,1710.1,1681.9,1619.9,1466.5,1600.4,1312.5,1166.6,1168.7,1405,1538.9,1517.4,1173.4,941.84,1385.5,1164.3,1278.3,1200.5,1496.3,1535.1,1296.4,1141.1,1089.9,1278.9,1115.2,1433.4,1370.4,1228.8,1205.2,1518.4,1512,1465.1,1496.2,1476.8,1324.4,1475.1,1706.5,1607.3,1649.8,1753.7,1414.8,1429.3,1188.5,1108.2,1404,1258,1421.8,1357.9,1174.7,1417.9,1682.8,1527,1296,1441,1417.3,1262.3,1375.6,1337.2,1281.1,1063.1,1211.9,1289.3,1410.4,1387.7,1214.7,1503.8,1665.9,1369,1484.4,1594.8,1429.2,1598.5,1631.7,1528.8,1655.1,1414.1,1270.6,1284.3,1309.2,1722.9,1891,2288.6,2011.2,1708.2,1501.7,1466.6,1625,1664.9,1402.6,1459.1,950.36,1319,1080.5,1224.1,1154.7,1357.6,1173.5,1032.7,1169.2,1029.2,1438.7,1501.2,1470.2,1713.3,1576.7,1701.2,1562.3,1315.6,1492.3,1703.5,1603.5,1609.9,1068.9,1137.5,1362,1382.5,1473.5,1697.8,1462,1394,1389.2,1765.3,1488.2,1626.7,1529.2,1680.1,1328.5,1279.3,1158.9,1067.5,1294.8,1114.9,1000.5,988.66,1324,907.21,1063.8,1238.7,1245.8,1136.1,1037.1,1150.8,1181.2,1031,989.89,1098.1,906.2,998.82,1133.3,1049.5,1251.1,1191.7,967.4,1246.9,1171.9,1178.7,1037.8,1383.2,1275.3,1041.1,990.42,1209.1,1213.7,1101.6,918.61,1144.5,1224.6,1015,733.56,983.14,886.51,823.03,613.17,630.67,916.98,1022.9,920.35,864.89,932.56,893.58,817.46,1046.4,1175.5,773.92,649.68,864.24,684.36,642.81,915.13,701.31,701.23,645.96,845.22,770.69,690.34,587.37,645.41,578.5,702.46,637.43,728.8,760.79,831.01,816.36,790.37,783.78,803.7,635.74,694.26,797.19,760.26,676.87,743.52,819.19,666.7,667.72,696.99,767.4,759.46,568.64,636.75,704.22,701.74,800.74,869.59,741.16,742.28,691.14,676.6,547.52,811.8,619.78,553.06,870.37,762.15,677.22,457.78,829.27,961.64,956.69,982.58,985.35,872.78,748.59,1134.6,948.4,836.1,804.13,651.35,700.75,996.58,979.52,1228,846.88
847.41,682.49,754.5,812.38,917.62,1358.1,1382.5,1344.4,1168.6,1233.3,1427,1768.1,1424.8,1410.8,1666.7,1513.5,1800.3,2062.2,2121.9,1969.3,1709.4,1877,2208.9,2136.7,1769.3,1825.7,1818.5,1904.5,1868.5,1993.9,1901.2,1680.9,1612.5,1563.1,1659.5,1442.8,1393.8,1439.8,1257.4,1173,1300.1,1321.3,1477.4,1349.4,1223.3,1134.4,1062.7,1019.6,1198.1,1260.5,1084.7,1068.6,1005.6,1127.7,1053.6,1269.3,1053.5,948.28,962.54,1221.3,999.68,972.79,1064,1128.1,1303.3,1145.3,1203.6,1103.7,1216.6,1178.3,1252.9,1323,1438.2,1341.9,1181.5,1172.4,1366.4,1317.2,1421,1441.9,1521.4,1258.4,1162,1079.3,1367.1,1380.2,1630.1,1534.5,1832.4,2061.4,1835.4,2075.8,1485.6,1561.9,1698.6,2006.3,1880.2,1783.7,1344.4,1648.4,1535.2,1935.8,1572.7,1639,1511.3,1488.7,1812.6,1643.9,1405.3,1125,1024.2,1373.3,1477.8,1590.1,1276.3,1407.5,1445.9,1623.1,1772.2,1834.1,2018.9,1806.3,1685.8,1653.6,1622,1803.3,1631.6,1717.6,1766.9,1833.6,2030.5,2400.3,2254.4,2050.5,2073.7,1956.4,1747,1708.7,1485.8,1537.5,1413.8,1657.8,1787.6,1375.4,1186.3,1024.6,1415.4,1284.5,1338.8,1248.6,1310.9,1478,1695.8,1636,1587,1812.3,1905.6,2343.7,2417.7,2208.6,1957.6,1818.7,1999.2,1782.6,1709.4,1480.8,1322,1341.8,1589.9,1310.1,1423.6,1403.6,1689.7,1621.2,1960.2,1927.6,1908.9,1556.3,1766.1,1664.1,1346.5,1277.2,1017.3,1223.3,1500.6,1691.7,1838.8,1695.9,1355,1420,1352.2,1376.1,1630.3,1291,1394,1413.8,1443.7,1477,1630.4,1690.7,1586.3,1636.1,1371.5,1028.6,1373.1,1482.1,1503.5,1055.1,998.49,1274.3,1469.9,1056.6,1117.2,1316.3,1368.9,1207.1,1147.6,1246.7,1328.2,1434.4,1253.6,1176.4,1132.8,1118.9,1221,1332.5,1334.3,1193.7,1154,1519,1417,1114.2,1012.6,1141.1,1149.3,958.18,1114,1036.8,750.39,789.49,1083.2,1064.3,790.45,1009.5,994.64,930.17,1030.7,1075.2,716.06,825.22,798.81,1061.3,1058.2,825.51,855.91,917.46,771.2,707.32,605.08,715.06,871.5,618.2,681.46,695.61,789.95,674.52,910.44,880.24,817.95,760.06,660.45,798.77,602.8,700.07,825.2,889.68,658.95,798.9,952.42,719.91,994.72,934.2,840.08,771.19,704.67,781.56,654.95,800.79,812.75,913.29,712.27,836.61,660.86,648.82,621.31,784.14,872.43,764.61,715.98,754.7,739.76,819.88,471.08,651.29,609.18
