0,6.042,6.042,-56.31
3,77.48,77.48,-58.241
6,60.776,60.776,-54.162
9,47.033,47.033,-49.899
12,31.75,31.75,-38.928
15,24.405,24.405,-51.34
18,7.701,7.701,-53.973
21,78.073,78.073,-58.671
24,58.643,58.643,-54.162
27,36.134,-52.957,-59.744
30,21.443,-67.648,-57.995
33,3.791,-85.3,-39.56
36,74.163,-14.928,-49.899
39,52.957,-36.134,-53.746
42,27.011,-62.08,-77.196
45,17.297,-71.794,-90
48,82.101,-6.99,-52.125
51,68.832,-20.259,-70.56
54,39.451,-49.64,-65.772
57,22.51,-66.581,-65.225
60,13.98,-75.111,-49.399
63,80.798,-8.293,-59.534
66,66.462,-22.629,-61.39
69,50.232,-38.859,-66.501
72,27.959,-61.132,-77.905
75,14.809,-74.282,-72.474
78,79.85,-9.241,-66.038
