0,3.475,3.475,-132.27
3,9.636,9.636,-136.33
6,11.057,11.057,-142.43
9,19.903,19.903,-130.6
12,27.011,27.011,-132.71
15,33.014,33.014,-147.53
18,38.543,38.543,-137.39
21,49.916,49.916,-152.02
24,59.078,59.078,-97.125
27,57.972,-34.436,-124.82
30,59.552,-32.856,-114.78
33,58.288,-34.12,-119.75
36,58.446,-33.962,-119.75
39,57.498,-34.91,-119.75
42,58.762,-33.646,-119.75
45,57.814,-34.594,-119.75
48,58.762,-33.646,-119.75
51,58.446,-33.962,-103
54,57.182,-35.226,-103
57,57.182,-35.226,-101.31
60,58.446,-33.962,-103.13
63,59.552,-32.856,-98.427
66,60.183,-32.225,-98.427
69,63.185,-29.223,-105.94
72,62.079,-30.329,-98.13
75,64.291,-28.117,-98.13
78,65.396,-27.012,-102.34
